MsgID.STATE,1523729405.0370126,False,False
MsgID.STATE,1523729415.0291836,True,True
MsgID.GLOBAL_HOME,1523729415.0311842,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1523729415.0646832,32.5252876,32.6006126,-4.9675369
MsgID.LOCAL_VELOCITY,1523729415.0646832,4.7596183,4.7033706,-0.0888137
MsgID.GLOBAL_POSITION,1523729415.0701787,-122.3970865,37.7927731,4.9670000
MsgID.LOCAL_VELOCITY,1523729415.0701787,4.7500000,4.7000000,-0.0800000
MsgID.GLOBAL_POSITION,1523729415.3136797,-122.3970781,37.7927807,4.9600000
MsgID.LOCAL_VELOCITY,1523729415.3136797,3.6900000,3.8500000,-0.1200000
MsgID.LOCAL_POSITION,1523729415.3147688,33.3652306,33.3443184,-4.9607306
MsgID.LOCAL_VELOCITY,1523729415.3147688,3.6924660,3.8500712,-0.1258381
MsgID.LOCAL_POSITION,1523729415.5676799,34.3645325,34.3001785,-4.9654021
MsgID.LOCAL_VELOCITY,1523729415.5676799,1.9511368,2.9657257,-0.1391227
MsgID.GLOBAL_POSITION,1523729415.5703945,-122.3970674,37.7927897,4.9650000
MsgID.LOCAL_VELOCITY,1523729415.5703945,1.9500000,2.9600000,-0.1300000
MsgID.LOCAL_POSITION,1523729415.8172355,34.6751404,35.1118279,-4.9692516
MsgID.LOCAL_VELOCITY,1523729415.8172355,0.6349656,2.4713213,-0.2038388
MsgID.GLOBAL_POSITION,1523729415.8188982,-122.3970582,37.7927925,4.9690000
MsgID.LOCAL_VELOCITY,1523729415.8188982,0.6300000,2.4700000,-0.2000000
MsgID.STATE,1523729416.0249088,True,True
MsgID.GLOBAL_HOME,1523729416.0269074,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729416.0709078,-122.3970504,37.7927922,4.9840000
MsgID.LOCAL_VELOCITY,1523729416.0709078,-0.4300000,1.9400000,-0.0800000
MsgID.LOCAL_POSITION,1523729416.0714912,34.6468658,35.8065987,-4.9843287
MsgID.LOCAL_VELOCITY,1523729416.0714912,-0.4391645,1.9418806,-0.0891351
MsgID.GLOBAL_POSITION,1523729416.3214011,-122.3970482,37.7927919,4.9760000
MsgID.LOCAL_VELOCITY,1523729416.3214011,-0.6100000,1.5400000,-0.0800000
MsgID.LOCAL_POSITION,1523729416.3219037,34.6037369,36.0008049,-4.9769907
MsgID.LOCAL_VELOCITY,1523729416.3219037,-0.6132791,1.5424017,-0.0850008
MsgID.GLOBAL_POSITION,1523729416.5722101,-122.3970442,37.7927920,4.9810000
MsgID.LOCAL_VELOCITY,1523729416.5722101,0.2600000,1.6000000,-0.0200000
MsgID.LOCAL_POSITION,1523729416.5727096,34.6150131,36.3623619,-4.9816322
MsgID.LOCAL_VELOCITY,1523729416.5727096,0.2639626,1.6093689,-0.0211253
MsgID.GLOBAL_POSITION,1523729416.8297174,-122.3970393,37.7927915,4.9840000
MsgID.LOCAL_VELOCITY,1523729416.8297174,0.4800000,1.8200000,0.0100000
MsgID.LOCAL_POSITION,1523729416.8323009,34.5619888,36.7988853,-4.9845133
MsgID.LOCAL_VELOCITY,1523729416.8323009,0.4890720,1.8221796,0.0157920
MsgID.STATE,1523729417.0267184,True,True
MsgID.GLOBAL_HOME,1523729417.0292161,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729417.0757239,-122.3970333,37.7927921,4.9900000
MsgID.LOCAL_VELOCITY,1523729417.0757239,0.5400000,2.6600000,0.0600000
MsgID.LOCAL_POSITION,1523729417.0807173,34.6312103,37.3270798,-4.9902272
MsgID.LOCAL_VELOCITY,1523729417.0807173,0.5448767,2.6647110,0.0602004
MsgID.GLOBAL_POSITION,1523729417.3262239,-122.3970246,37.7927954,4.9970000
MsgID.LOCAL_VELOCITY,1523729417.3262239,0.5900000,2.7900000,0.1300000
MsgID.LOCAL_POSITION,1523729417.3282263,34.9995880,38.1073341,-4.9970961
MsgID.LOCAL_VELOCITY,1523729417.3282263,0.5999285,2.7906108,0.1324924
MsgID.GLOBAL_POSITION,1523729417.5747180,-122.3970182,37.7927959,5.0010000
MsgID.LOCAL_VELOCITY,1523729417.5747180,0.5700000,2.6300000,0.1100000
MsgID.LOCAL_POSITION,1523729417.5757172,35.0502243,38.6699066,-5.0011139
MsgID.LOCAL_VELOCITY,1523729417.5757172,0.5730585,2.6348619,0.1147036
MsgID.GLOBAL_POSITION,1523729417.8264661,-122.3970093,37.7927965,4.9970000
MsgID.LOCAL_VELOCITY,1523729417.8264661,1.2300000,2.5300000,0.1000000
MsgID.LOCAL_POSITION,1523729417.8285420,35.1178284,39.4587059,-4.9973187
MsgID.LOCAL_VELOCITY,1523729417.8285420,1.2368004,2.5338972,0.1086522
MsgID.STATE,1523729418.0249412,True,True
MsgID.GLOBAL_HOME,1523729418.0264394,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729418.0734441,-122.3970017,37.7928013,4.9910000
MsgID.LOCAL_VELOCITY,1523729418.0734441,1.4000000,1.3700000,0.1100000
MsgID.LOCAL_POSITION,1523729418.0739512,35.6555939,40.1415901,-4.9914017
MsgID.LOCAL_VELOCITY,1523729418.0739512,1.4017245,1.3788966,0.1156927
MsgID.GLOBAL_POSITION,1523729418.3282974,-122.3969996,37.7928052,4.9800000
MsgID.LOCAL_VELOCITY,1523729418.3282974,0.9000000,0.6500000,0.0600000
MsgID.LOCAL_POSITION,1523729418.3334529,36.0876160,40.3223915,-4.9801593
MsgID.LOCAL_VELOCITY,1523729418.3334529,0.9002219,0.6550085,0.0606194
MsgID.GLOBAL_POSITION,1523729418.5812459,-122.3969985,37.7928059,4.9930000
MsgID.LOCAL_VELOCITY,1523729418.5812459,0.2900000,0.2500000,-0.0500000
MsgID.LOCAL_POSITION,1523729418.5882263,36.1681061,40.4227982,-4.9934387
MsgID.LOCAL_VELOCITY,1523729418.5882263,0.2912175,0.2590260,-0.0588868
MsgID.GLOBAL_POSITION,1523729418.8338482,-122.3969980,37.7928051,4.8890000
MsgID.LOCAL_VELOCITY,1523729418.8338482,0.2000000,0.1800000,1.1700000
MsgID.LOCAL_POSITION,1523729418.8343511,36.0779419,40.4685898,-4.8892131
MsgID.LOCAL_VELOCITY,1523729418.8343511,0.2061867,0.1834393,1.1764804
MsgID.STATE,1523729419.0258486,True,True
MsgID.GLOBAL_HOME,1523729419.0283568,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729419.0853555,-122.3969962,37.7928055,4.3950000
MsgID.LOCAL_VELOCITY,1523729419.0853555,0.1300000,0.0900000,1.9000000
MsgID.LOCAL_POSITION,1523729419.0886674,36.1185379,40.6289406,-4.3957729
MsgID.LOCAL_VELOCITY,1523729419.0886674,0.1314067,0.0936287,1.9088508
MsgID.GLOBAL_POSITION,1523729419.3356352,-122.3969970,37.7928073,3.9230000
MsgID.LOCAL_VELOCITY,1523729419.3356352,0.0600000,0.0200000,1.9800000
MsgID.LOCAL_POSITION,1523729419.3401375,36.3216095,40.5544014,-3.9233258
MsgID.LOCAL_VELOCITY,1523729419.3401375,0.0660960,0.0296395,1.9838825
MsgID.LOCAL_POSITION,1523729419.5841246,36.3034363,40.4219360,-3.3318596
MsgID.LOCAL_VELOCITY,1523729419.5841246,0.0175433,0.0049922,2.0892427
MsgID.GLOBAL_POSITION,1523729419.5841246,-122.3969985,37.7928072,3.3310000
MsgID.LOCAL_VELOCITY,1523729419.5841246,0.0100000,0.0000000,2.0800000
MsgID.GLOBAL_POSITION,1523729419.8342502,-122.3969972,37.7928080,2.8420000
MsgID.LOCAL_VELOCITY,1523729419.8342502,0.0000000,0.0000000,2.0900000
MsgID.LOCAL_POSITION,1523729419.8356256,36.3959923,40.5363731,-2.8423941
MsgID.LOCAL_VELOCITY,1523729419.8356256,-0.0061757,0.0017518,2.0983648
MsgID.STATE,1523729420.0241973,True,True
MsgID.GLOBAL_HOME,1523729420.0291226,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729420.0856302,-122.3969989,37.7928077,2.3340000
MsgID.LOCAL_VELOCITY,1523729420.0856302,-0.0200000,0.0000000,2.0800000
MsgID.LOCAL_POSITION,1523729420.0891340,36.3648453,40.3847237,-2.3345442
MsgID.LOCAL_VELOCITY,1523729420.0891340,-0.0204095,-0.0047485,2.0860610
MsgID.GLOBAL_POSITION,1523729420.3396995,-122.3969976,37.7928076,1.8160000
MsgID.LOCAL_VELOCITY,1523729420.3396995,-0.0200000,0.0000000,2.0100000
MsgID.LOCAL_POSITION,1523729420.3428018,36.3519783,40.5060349,-1.8165329
MsgID.LOCAL_VELOCITY,1523729420.3428018,-0.0256605,-0.0025106,2.0130465
MsgID.GLOBAL_POSITION,1523729420.5861187,-122.3969965,37.7928063,1.2760000
MsgID.LOCAL_VELOCITY,1523729420.5861187,-0.0200000,-0.0100000,2.0200000
MsgID.LOCAL_POSITION,1523729420.5891254,36.2136765,40.5966835,-1.2761322
MsgID.LOCAL_VELOCITY,1523729420.5891254,-0.0269091,-0.0105178,2.0280695
MsgID.GLOBAL_POSITION,1523729420.8357472,-122.3969990,37.7928051,0.7490000
MsgID.LOCAL_VELOCITY,1523729420.8357472,-0.0100000,-0.0200000,2.0300000
MsgID.LOCAL_POSITION,1523729420.8366733,36.0714264,40.3797607,-0.7491554
MsgID.LOCAL_VELOCITY,1523729420.8366733,-0.0170920,-0.0203978,2.0393980
MsgID.STATE,1523729421.0273187,True,True
MsgID.GLOBAL_HOME,1523729421.0288203,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729421.0868208,-122.3969979,37.7928061,0.2170000
MsgID.LOCAL_VELOCITY,1523729421.0868208,0.0000000,0.0000000,2.0200000
MsgID.LOCAL_POSITION,1523729421.0884614,36.1877098,40.4719124,-0.2171638
MsgID.LOCAL_VELOCITY,1523729421.0884614,0.0035173,-0.0097869,2.0277932
MsgID.GLOBAL_POSITION,1523729421.3377862,-122.3969978,37.7928062,0.0420000
MsgID.LOCAL_VELOCITY,1523729421.3377862,0.0000000,-0.0700000,0.1000000
MsgID.LOCAL_POSITION,1523729421.3408725,36.1966133,40.4822502,-0.0423480
MsgID.LOCAL_VELOCITY,1523729421.3408725,0.0058347,-0.0714825,0.1045563
